N	Number	IDs	STRAIN	CULTURE_COLLECTION	ISOLATE	GENOTYPE	PLASMID	METAGENOME?	COMPLETENESS_ESTIMATED	CONTAMINATION_ESTIMATED	COLLECTED_BY	COLLECTION_DATE	COUNTRY (mixed up)	LAT_LON	HOST	HOST_SEX	HOST_AGE	ISOLATION_SOURCE	HOST_DISEASE	HOST_DISEASE_OUTCOME	ANTIBIOTICS	Bio Project	Pubmed	Length (T)	Complete?	Coverage	Seq Method	GCpercent	Length	Number of sequences	COUNTRY	CITY(or similar)	REGION/STATE	HOSPITAL	Comentario	Pub. Year	Proteins_Prokka	Isolation source2	ISOLATION_SOURCE_RECOD	HOST_DISEASE_RECOD	Isol Source 3	Isol Source 4	NEW_HOSPITAL	whyDeleted	whyDeleted2	Group	CRISPR_cluster	CRISPR_arrays
283	ab00283	GCA_000516075.1_gabuh2707_v01	UH2707									2007	USA		Homo sapiens			sputum				https://www.ncbi.nlm.nih.gov/bioproject/PRJNA218769	https://www.ncbi.nlm.nih.gov/pubmed/?term=24449752	401	NO		Illumina GAIIx	38.9918876701002	4039530	236	USA						3822	sputum	Respiratorio	Respiratorio	Respiratory	Respiratory airways		A. baumannii	A. baumannii	group2		3
284	ab00284	GCA_000516095.2_gabuh99pb_v01	UH9907				pABUH1-74					2007	USA		Homo sapiens			sputum				https://www.ncbi.nlm.nih.gov/bioproject/PRJNA227028	https://www.ncbi.nlm.nih.gov/pubmed/?term=24449752	74089	NO		Pacific Bioscienes RS	39.1262599806486	4344908	11	USA						4139	sputum	Respiratorio	Respiratorio	Respiratory	Respiratory airways		A. baumannii	A. baumannii	group2		0
285	ab00285	GCA_000516115.1_gabuh107pb_v01	UH10707				pABUH5-114					2007	USA		Homo sapiens			sputum				https://www.ncbi.nlm.nih.gov/bioproject/PRJNA227030	https://www.ncbi.nlm.nih.gov/pubmed/?term=24449752	114115	NO		Pacific Bioscienes RS	39.1828970529783	4156196	9	USA						3998	sputum	Respiratorio	Respiratorio	Respiratory	Respiratory airways		A. baumannii	A. baumannii	group2		0
286	ab00286	GCA_000516135.1_gabuh5107_v01	UH5107									2007	USA		Homo sapiens			sputum				https://www.ncbi.nlm.nih.gov/bioproject/PRJNA218772	https://www.ncbi.nlm.nih.gov/pubmed/?term=24449752	724	NO		Illumina GAIIx	38.8876657920276	4006224	135	USA						3787	sputum	Respiratorio	Respiratorio	Respiratory	Respiratory airways		A. baumannii	A. baumannii	group1		3
287	ab00287	GCA_000516155.1_gabuh5207_v01	UH5207									2007	USA		Homo sapiens			catheter				https://www.ncbi.nlm.nih.gov/bioproject/PRJNA218773	https://www.ncbi.nlm.nih.gov/pubmed/?term=24449752	1203	NO		Illumina GAIIx	39.037396076976	4009458	59	USA						3739	catheter	Catéter	Desconocido	Catheter	Catheters		A. baumannii	A. baumannii	group1		4
288	ab00288	GCA_000516175.1_gabuh5307_v01	UH5307									2007	USA		Homo sapiens			sputum				https://www.ncbi.nlm.nih.gov/bioproject/PRJNA218774	https://www.ncbi.nlm.nih.gov/pubmed/?term=24449752	269	NO		Illumina GAIIx	39.0058993664384	4199434	113	USA						3998	sputum	Respiratorio	Respiratorio	Respiratory	Respiratory airways		A. baumannii	A. baumannii	group2		0
289	ab00289	GCA_000516195.2_gabuh5707_v01	UH5707									2007	USA		Homo sapiens			wound abcess				https://www.ncbi.nlm.nih.gov/bioproject/PRJNA218775	https://www.ncbi.nlm.nih.gov/pubmed/?term=24449752	286	NO		Illumina GAIIx	38.9471297817831	4049274	165	USA						3828	wound	IPPB	IPPB	Skin & Soft Tissue Infection	Skin and soft tissues		no_16S	no_16S			
290	ab00290	GCA_000516215.2_gabuh6107_v01	UH6107									2007	USA		Homo sapiens			sputum				https://www.ncbi.nlm.nih.gov/bioproject/PRJNA218776	https://www.ncbi.nlm.nih.gov/pubmed/?term=24449752	375	NO		Illumina GAIIx	38.9578111786956	4057307	172	USA						3860	sputum	Respiratorio	Respiratorio	Respiratory	Respiratory airways		no_16S	no_16S			
291	ab00291	GCA_000516235.1_gabuh6207_v01	UH6207									2007	USA		Homo sapiens			bronchial wash				https://www.ncbi.nlm.nih.gov/bioproject/PRJNA218777	https://www.ncbi.nlm.nih.gov/pubmed/?term=24449752	2038	NO		Illumina GAIIx	38.8652862462553	3865151	100	USA						3638	pulmonary	Respiratorio	Respiratorio	Respiratory	Respiratory airways		A. baumannii	A. baumannii	group2		1
292	ab00292	GCA_000516255.1_gabuh6507_v01	UH6507									2007	USA		Homo sapiens			urine				https://www.ncbi.nlm.nih.gov/bioproject/PRJNA218778	https://www.ncbi.nlm.nih.gov/pubmed/?term=24449752	219190	NO		Illumina GAIIx	38.8427036982204	3762269	47	USA						3488	urine	Urinario	ITU	Urinary	Urinary tract		A. baumannii	A. baumannii	group1		2
293	ab00293	GCA_000516275.1_gabuh6907_v01	UH6907									2007	USA		Homo sapiens			sputum				https://www.ncbi.nlm.nih.gov/bioproject/PRJNA218779	https://www.ncbi.nlm.nih.gov/pubmed/?term=24449752	44573	NO	73	Illumina GAIIx	38.9420601810205	4013026	146	USA						3755	sputum	Respiratorio	Respiratorio	Respiratory	Respiratory airways		A. baumannii	A. baumannii	group1	cas3(cas2_3);unknown1336;csy2(cas5);unknown758(cas7);csy4(cas6f);cas1	4
294	ab00294	GCA_000516295.1_gabuh7007_v01	UH7007				pABUH6b-10					2007	USA		Homo sapiens			urine				https://www.ncbi.nlm.nih.gov/bioproject/PRJNA218780	https://www.ncbi.nlm.nih.gov/pubmed/?term=24449752	10030	NO		Illumina GAIIx	38.8969336062566	3907326	127	USA						3677	urine	Urinario	ITU	Urinary	Urinary tract		A. baumannii	A. baumannii	group2		1
295	ab00295	GCA_000516315.1_gabuh7607_v01	UH7607				pABUH2b-5.4					2007	USA		Homo sapiens			urine				https://www.ncbi.nlm.nih.gov/bioproject/PRJNA218781	https://www.ncbi.nlm.nih.gov/pubmed/?term=24449752	5355	NO		Illumina GAIIx	38.9693568966152	3912528	151	USA						3685	urine	Urinario	ITU	Urinary	Urinary tract		A. baumannii	A. baumannii	group1	cas3(cas2_3);unknown1336;csy2(cas5);unknown758(cas7);csy4(cas6f);cas1	4
296	ab00296	GCA_000516335.2_gabuh7707_v01	UH7707									2007	USA		Homo sapiens			sputum				https://www.ncbi.nlm.nih.gov/bioproject/PRJNA218782	https://www.ncbi.nlm.nih.gov/pubmed/?term=24449752	157953	NO		Illumina GAIIx	38.9741675620804	4042824	231	USA						3838	sputum	Respiratorio	Respiratorio	Respiratory	Respiratory airways		A. baumannii	A. baumannii	group2		1
297	ab00297	GCA_000516355.2_gabuh7807_v01	UH7807									2007	USA		Homo sapiens			sputum				https://www.ncbi.nlm.nih.gov/bioproject/PRJNA218783	https://www.ncbi.nlm.nih.gov/pubmed/?term=24449752	225	NO		Illumina GAIIx	38.9457437228749	4049983	158	USA						3827	sputum	Respiratorio	Respiratorio	Respiratory	Respiratory airways		A. baumannii	A. baumannii	group2		1
298	ab00298	GCA_000516375.1_gabuh7907_v01	UH7907									2007	USA		Homo sapiens			blood				https://www.ncbi.nlm.nih.gov/bioproject/PRJNA218784	https://www.ncbi.nlm.nih.gov/pubmed/?term=24449752	386	NO		Illumina GAIIx	38.9566167700538	4015169	185	USA						3772	blood	Bacteriemia	Bacteriemia	Bacteremia	Blood		A. baumannii	A. baumannii	group1	cas3(cas2_3);unknown1336;X(3243);cas1;csy4(cas6f);unknown758(cas7);csy2(cas5);unknown1336	5
299	ab00299	GCA_000516575.2_ASM51657v2	CI86									2005	Iraq		Homo sapiens			superficial wound				https://www.ncbi.nlm.nih.gov/bioproject/PRJNA206988	https://www.ncbi.nlm.nih.gov/pubmed/?term=24503987	7134	NO		Illumina HiSeq	38.8329339152742	4390137	87	Iraq						4132	wound	IPPB	IPPB	Skin & Soft Tissue Infection	Skin and soft tissues		A. baumannii	A. baumannii	group1	csy4(cas6f);csy3(cas7);csy2(cas5);BMY_2099(cas8f);cas3(cas2_3);cas1	2
300	ab00300	GCA_000516595.2_ASM51659v2	CI77									2005	Iraq		Homo sapiens			superficial wound				https://www.ncbi.nlm.nih.gov/bioproject/PRJNA206987	https://www.ncbi.nlm.nih.gov/pubmed/?term=24503987	168761	NO		Illumina HiSeq	39.0849794556881	4028609	80	Iraq						3780	wound	IPPB	IPPB	Skin & Soft Tissue Infection	Skin and soft tissues		A. baumannii	A. baumannii	group2		0
301	ab00301	GCA_000516615.2_ASM51661v2	CI78									2005	Afghanistan		Homo sapiens			respiratory tract				https://www.ncbi.nlm.nih.gov/bioproject/PRJNA206973	https://www.ncbi.nlm.nih.gov/pubmed/?term=24503987	3398	NO		Illumina HiSeq	38.7154233215351	3873167	36	Afghanistan						3579	pulmonary	Respiratorio	Respiratorio	Respiratory	Respiratory airways		no_16S	no_16S			
302	ab00302	GCA_000516635.2_ASM51663v2	CI79									2005	Iraq		Homo sapiens			respiratory tract				https://www.ncbi.nlm.nih.gov/bioproject/PRJNA206979	https://www.ncbi.nlm.nih.gov/pubmed/?term=24503987	87516	NO		Illumina HiSeq	38.7832899995004	4383411	84	Iraq						4145	pulmonary	Respiratorio	Respiratorio	Respiratory	Respiratory airways		A. baumannii	A. baumannii	group1	csy4(cas6f);csy3(cas7);csy2(cas5);BMY_2099(cas8f);cas3(cas2_3);cas1	3
303	ab00303	GCA_000517485.2_gabuh2107_v01	UH2107				pABUH4-111					2007	USA		Homo sapiens			sputum				https://www.ncbi.nlm.nih.gov/bioproject/PRJNA218766	https://www.ncbi.nlm.nih.gov/pubmed/?term=24449752	111007	NO		Illumina GAIIx	39.070366827571	3968404	156	USA						3714	sputum	Respiratorio	Respiratorio	Respiratory	Respiratory airways		A. baumannii	A. baumannii	group2		1
304	ab00304	GCA_000517505.1_gabuh3807_v01	UH3807									2007	USA		Homo sapiens			sputum				https://www.ncbi.nlm.nih.gov/bioproject/PRJNA218771	https://www.ncbi.nlm.nih.gov/pubmed/?term=24449752	224	NO	36	Illumina GAIIx	38.9641443723286	3790200	112	USA						3539	sputum	Respiratorio	Respiratorio	Respiratory	Respiratory airways		A. baumannii	A. baumannii	group2		1
305	ab00305	GCA_000522525.1_AB-MDR-MMC4	MDR_MMC4									2008	USA:TN		Homo sapiens			bronchial alveolar lavage				https://www.ncbi.nlm.nih.gov/bioproject/PRJNA231087	https://www.ncbi.nlm.nih.gov/pubmed/?term=20609238	48228	NO		454; Illumina GAII	38.9516094828017	3984603	146	USA		Tennessee				3941	pulmonary	Respiratorio	Respiratorio	Respiratory	Respiratory airways		A. baumannii	A. baumannii	group2		1
306	ab00306	GCA_000576535.1_ASM57653v1	AB07										India:Pondicherry		Homo sapiens			wound infection of a hospitalized patient				https://www.ncbi.nlm.nih.gov/bioproject/PRJNA224967	https://www.ncbi.nlm.nih.gov/pubmed/?term=24652977	4233806	YES		Illumina GAII	39.0104814112884	4121964	2	India	Pondicherry					3863	wound	IPPB	IPPB	Skin & Soft Tissue Infection	Skin and soft tissues		A. baumannii	A. baumannii	group2		0
307	ab00307	GCA_000580135.1_ASM58013v1	1247182										USA		Homo sapiens			perirectal				https://www.ncbi.nlm.nih.gov/bioproject/PRJNA194673		253334	NO		Illumina	39.0488284464637	3991751	89	USA						3721	perirectal	Perianal	Colonización	Perianal	Perianal		A. baumannii	A. baumannii	group2		0
308	ab00308	GCA_000580155.1_ASM58015v1	1075025										USA		Homo sapiens			perirectal				https://www.ncbi.nlm.nih.gov/bioproject/PRJNA194672		175657	NO		Illumina	39.0309600094993	3924482	159	USA						3680	perirectal	Perianal	Colonización	Perianal	Perianal		no_16S	no_16S			
309	ab00309	GCA_000580175.1_ASM58017v1	1051830										USA		Homo sapiens			perirectal				https://www.ncbi.nlm.nih.gov/bioproject/PRJNA194661		291702	NO		Illumina	38.9395157446824	3892203	88	USA						3781	perirectal	Perianal	Colonización	Perianal	Perianal		no_16S	no_16S			
310	ab00310	GCA_000580195.1_ASM58019v1	1046051										USA		Homo sapiens			perirectal				https://www.ncbi.nlm.nih.gov/bioproject/PRJNA194646		129569	NO		Illumina	39.1442888900959	4124032	204	USA						3880	perirectal	Perianal	Colonización	Perianal	Perianal		A. baumannii	A. baumannii	group2		1
311	ab00311	GCA_000580215.1_ASM58021v1	1043903										USA		Homo sapiens			perirectal				https://www.ncbi.nlm.nih.gov/bioproject/PRJNA194645		292065	NO		Illumina	38.8605947035016	4160258	252	USA						3985	perirectal	Perianal	Colonización	Perianal	Perianal		no_16S	no_16S			
312	ab00312	GCA_000580235.1_ASM58023v1	1042969-1265										USA		Homo sapiens			perirectal				https://www.ncbi.nlm.nih.gov/bioproject/PRJNA194650		270513	NO		Illumina	39.1876115302472	4071205	166	USA						3850	perirectal	Perianal	Colonización	Perianal	Perianal		no_16S	no_16S			
313	ab00313	GCA_000580255.1_ASM58025v1	1040094										USA		Homo sapiens			perirectal				https://www.ncbi.nlm.nih.gov/bioproject/PRJNA194666		417439	NO		Illumina	39.0542912026597	3975156	67	USA						3670	perirectal	Perianal	Colonización	Perianal	Perianal		A. baumannii	A. baumannii	group1		5
314	ab00314	GCA_000580275.1_ASM58027v1	1036938										USA		Homo sapiens			perirectal				https://www.ncbi.nlm.nih.gov/bioproject/PRJNA194630		137419	NO		Illumina	39.1322003766013	4144436	236	USA						3927	perirectal	Perianal	Colonización	Perianal	Perianal		A. baumannii	A. baumannii	group2		2
315	ab00315	GCA_000580295.1_ASM58029v1	1031433										USA		Homo sapiens			perirectal				https://www.ncbi.nlm.nih.gov/bioproject/PRJNA194662		291483	NO		Illumina	38.8686349443107	4025279	171	USA						3815	perirectal	Perianal	Colonización	Perianal	Perianal		no_16S	no_16S			
316	ab00316	GCA_000580315.1_ASM58031v1	1297										USA		Homo sapiens			perirectal				https://www.ncbi.nlm.nih.gov/bioproject/PRJNA194656		480445	NO		Illumina	39.0348637530341	3842214	36	USA						3603	perirectal	Perianal	Colonización	Perianal	Perianal		A. baumannii	A. baumannii	group1		2
317	ab00317	GCA_000580335.1_ASM58033v1	136706										USA		Homo sapiens			perirectal				https://www.ncbi.nlm.nih.gov/bioproject/PRJNA194634		251916	NO		Illumina	38.9889449471422	4136570	215	USA						3891	perirectal	Perianal	Colonización	Perianal	Perianal		no_16S	no_16S			
318	ab00318	GCA_000580355.2_ASM58035v2	1121032										USA		Homo sapiens			perirectal				https://www.ncbi.nlm.nih.gov/bioproject/PRJNA194674		249870	NO		PacBio	38.9606228573259	4151063	81	USA						3941	perirectal	Perianal	Colonización	Perianal	Perianal		A. baumannii	A. baumannii	group1		5
319	ab00319	GCA_000580375.1_ASM58037v1	1051176										USA		Homo sapiens			perirectal				https://www.ncbi.nlm.nih.gov/bioproject/PRJNA194659		433213	NO		Illumina	39.0772600195329	3859137	71	USA						3601	perirectal	Perianal	Colonización	Perianal	Perianal		A. baumannii	A. baumannii	group2		1
320	ab00320	GCA_000580395.1_ASM58039v1	1046674										USA		Homo sapiens			perirectal				https://www.ncbi.nlm.nih.gov/bioproject/PRJNA194643		291881	NO		Illumina	38.909561028915	3993566	203	USA						3792	perirectal	Perianal	Colonización	Perianal	Perianal		no_16S	no_16S			
321	ab00321	GCA_000580415.1_ASM58041v1	1043794										USA		Homo sapiens			perirectal				https://www.ncbi.nlm.nih.gov/bioproject/PRJNA194640		371040	NO		Illumina	39.0714424664435	4009660	51	USA						3678	perirectal	Perianal	Colonización	Perianal	Perianal		A. baumannii	A. baumannii	group1		5
322	ab00322	GCA_000580435.2_ASM58043v2	1039621										USA		Homo sapiens			perirectal				https://www.ncbi.nlm.nih.gov/bioproject/PRJNA194668		393211	NO		PacBio	39.0467616499595	3979928	75	USA						3681	perirectal	Perianal	Colonización	Perianal	Perianal		A. baumannii	A. baumannii	group1		5
323	ab00323	GCA_000580455.1_ASM58045v1	1032241										USA		Homo sapiens			perirectal				https://www.ncbi.nlm.nih.gov/bioproject/PRJNA194647		329994	NO		Illumina	39.0565859397114	4030913	202	USA						3752	perirectal	Perianal	Colonización	Perianal	Perianal		no_16S	no_16S			
324	ab00324	GCA_000580475.1_ASM58047v1	17534										USA		Homo sapiens			perirectal				https://www.ncbi.nlm.nih.gov/bioproject/PRJNA194632		248718	NO		Illumina	38.8444919734692	4161200	235	USA						3980	perirectal	Perianal	Colonización	Perianal	Perianal		no_16S	no_16S			
325	ab00325	GCA_000580495.2_ASM58049v2	110912										USA		Homo sapiens			perirectal				https://www.ncbi.nlm.nih.gov/bioproject/PRJNA194724		3842111	NO		PacBio	38.8592463608576	3953404	5	USA						3716	perirectal	Perianal	Colonización	Perianal	Perianal		A. baumannii	A. baumannii	group1		3
326	ab00326	GCA_000580515.1_ASM58051v1	118362										USA		Homo sapiens			perirectal				https://www.ncbi.nlm.nih.gov/bioproject/PRJNA194694		241376	NO		Illumina	38.8679180829077	4449572	434	USA						4065	perirectal	Perianal	Colonización	Perianal	Perianal		no_16S	no_16S			
327	ab00327	GCA_000580535.1_ASM58053v1	1202252										USA		Homo sapiens			perirectal				https://www.ncbi.nlm.nih.gov/bioproject/PRJNA194700		143326	NO		Illumina	38.9577590221385	4118702	189	USA						3890	perirectal	Perianal	Colonización	Perianal	Perianal		no_baumannii	no_baumannii			
328	ab00328	GCA_000580555.1_ASM58055v1	1294217										USA		Homo sapiens			perirectal				https://www.ncbi.nlm.nih.gov/bioproject/PRJNA194696		234186	NO		Illumina	39.1946892211805	4152310	140	USA						3939	perirectal	Perianal	Colonización	Perianal	Perianal		A. baumannii	A. baumannii	group2		0
329	ab00329	GCA_000580575.1_ASM58057v1	1406750										USA		Homo sapiens			perirectal				https://www.ncbi.nlm.nih.gov/bioproject/PRJNA194693		173598	NO		Illumina	39.039185988742	4146380	227	USA						3966	perirectal	Perianal	Colonización	Perianal	Perianal		no_16S	no_16S			
330	ab00330	GCA_000580595.1_ASM58059v1	1419130										USA		Homo sapiens			perirectal				https://www.ncbi.nlm.nih.gov/bioproject/PRJNA194695		224817	NO		Illumina	39.0049931513304	4382603	153	USA						4126	perirectal	Perianal	Colonización	Perianal	Perianal		A. baumannii	A. baumannii	group1	csy4(cas6f);csy3(cas7);csy2(cas5);BMY_2099(cas8f);cas3(cas2_3);cas1	2
331	ab00331	GCA_000580615.1_ASM58061v1	1440422										USA		Homo sapiens			perirectal				https://www.ncbi.nlm.nih.gov/bioproject/PRJNA194717		105910	NO		Illumina	39.0206854399055	3861170	356	USA						3837	perirectal	Perianal	Colonización	Perianal	Perianal		no_16S	no_16S			
332	ab00332	GCA_000580655.1_ASM58065v1	146457										USA		Homo sapiens			perirectal				https://www.ncbi.nlm.nih.gov/bioproject/PRJNA194699		1347981	NO		Illumina	42.7919127100502	4074146	38	USA						3773	perirectal	Perianal	Colonización	Perianal	Perianal		low_n_genes	low_n_genes+no_baumannii			
333	ab00333	GCA_000580695.1_ASM58069v1	342950										USA		Homo sapiens			perirectal				https://www.ncbi.nlm.nih.gov/bioproject/PRJNA194716		214148	NO		Illumina	39.1315996920388	4131689	296	USA						3737	perirectal	Perianal	Colonización	Perianal	Perianal		A. baumannii	A. baumannii	group1		4
334	ab00334	GCA_000580715.1_ASM58071v1	4749										USA		Homo sapiens			perirectal				https://www.ncbi.nlm.nih.gov/bioproject/PRJNA194710		190014	NO		Illumina	38.9304214817644	4159919	356	USA						3936	perirectal	Perianal	Colonización	Perianal	Perianal		A. baumannii	A. baumannii	group1		3
335	ab00335	GCA_000580735.1_ASM58073v1	724909										USA		Homo sapiens			perirectal				https://www.ncbi.nlm.nih.gov/bioproject/PRJNA194726		254071	NO		Illumina	38.954032838247	4072690	178	USA						3872	perirectal	Perianal	Colonización	Perianal	Perianal		no_16S	no_16S			
336	ab00336	GCA_000580755.1_ASM58075v1	951631										USA		Homo sapiens			perirectal				https://www.ncbi.nlm.nih.gov/bioproject/PRJNA194729		275753	NO		Illumina	39.0278623587702	4348232	365	USA						4114	perirectal	Perianal	Colonización	Perianal	Perianal		A. baumannii	A. baumannii	group1		3
337	ab00337	GCA_000580775.1_ASM58077v1	1297549										USA		Homo sapiens			perirectal				https://www.ncbi.nlm.nih.gov/bioproject/PRJNA194682		208779	NO		Illumina	39.1107283793207	3863454	174	USA						3653	perirectal	Perianal	Colonización	Perianal	Perianal		no_16S	no_16S			
338	ab00338	GCA_000580795.1_ASM58079v1	348935										USA		Homo sapiens			perirectal				https://www.ncbi.nlm.nih.gov/bioproject/PRJNA194681		82114	NO		Illumina	42.2368255178176	3410950	423	USA						3256	perirectal	Perianal	Colonización	Perianal	Perianal		low_n_genes	low_n_genes+no_16S			
339	ab00339	GCA_000580815.1_ASM58081v1	1035119										USA		Homo sapiens			perirectal				https://www.ncbi.nlm.nih.gov/bioproject/PRJNA194698		423705	NO		Illumina	39.0485218137658	3928666	55	USA						3582	perirectal	Perianal	Colonización	Perianal	Perianal		A. baumannii	A. baumannii	group1	cas9	4
340	ab00340	GCA_000580835.1_ASM58083v1	1159076										USA		Homo sapiens			perirectal				https://www.ncbi.nlm.nih.gov/bioproject/PRJNA194720		274824	NO		Illumina	38.9774474827537	4246843	301	USA						4085	perirectal	Perianal	Colonización	Perianal	Perianal		A. baumannii	A. baumannii	group2		0
341	ab00341	GCA_000580875.1_ASM58087v1	1295743										USA		Homo sapiens			perirectal				https://www.ncbi.nlm.nih.gov/bioproject/PRJNA194689		249340	NO		Illumina	39.3343069097477	4322893	199	USA						4053	perirectal	Perianal	Colonización	Perianal	Perianal		A. baumannii	A. baumannii	group1	cas9	5
342	ab00342	GCA_000580895.1_ASM58089v1	1397084										USA		Homo sapiens			perirectal				https://www.ncbi.nlm.nih.gov/bioproject/PRJNA194690		141957	NO		Illumina	39.0917324118329	3916511	311	USA						3707	perirectal	Perianal	Colonización	Perianal	Perianal		A. baumannii	A. baumannii	group1		1
343	ab00343	GCA_000580915.1_ASM58091v1	1437282										USA		Homo sapiens			perirectal				https://www.ncbi.nlm.nih.gov/bioproject/PRJNA194714		1291909	NO		Illumina	43.0201562556103	3954802	35	USA						3661	perirectal	Perianal	Colonización	Perianal	Perianal		low_n_genes	low_n_genes+no_baumannii			
344	ab00344	GCA_000580935.1_ASM58093v1	1462234										USA		Homo sapiens			perirectal				https://www.ncbi.nlm.nih.gov/bioproject/PRJNA194722		175491	NO		Illumina	38.9143699531018	4340042	476	USA						4115	perirectal	Perianal	Colonización	Perianal	Perianal		A. baumannii	A. baumannii	group2		0
345	ab00345	GCA_000580975.1_ASM58097v1	299505										USA		Homo sapiens			perirectal				https://www.ncbi.nlm.nih.gov/bioproject/PRJNA194719		343021	NO		Illumina	38.7577801645461	3974691	124	USA						3699	perirectal	Perianal	Colonización	Perianal	Perianal		A. baumannii	A. baumannii	group1	cas1;cas3(cas2_3);BMY_2099(cas8f);csy2(cas5);csy3(cas7);csy4(cas6f)	4
346	ab00346	GCA_000580995.1_ASM58099v1	466760										USA		Homo sapiens			perirectal				https://www.ncbi.nlm.nih.gov/bioproject/PRJNA194687		747244	NO		Illumina	39.0599725513118	3883610	39	USA						3619	perirectal	Perianal	Colonización	Perianal	Perianal		A. baumannii	A. baumannii	group1	t4544(cas3)	3
347	ab00347	GCA_000581015.1_ASM58101v1	647609										USA		Homo sapiens			perirectal				https://www.ncbi.nlm.nih.gov/bioproject/PRJNA194686		209459	NO		Illumina	39.082586611798	4029503	166	USA						3802	perirectal	Perianal	Colonización	Perianal	Perianal		A. baumannii	A. baumannii	group2		0
348	ab00348	GCA_000581055.1_ASM58105v1	984213										USA		Homo sapiens			perirectal				https://www.ncbi.nlm.nih.gov/bioproject/PRJNA194680		84304	NO		Illumina	39.195553783964	4177035	449	USA						3990	perirectal	Perianal	Colonización	Perianal	Perianal		no_16S	no_16S			
349	ab00349	GCA_000581075.1_ASM58107v1	1267820										USA		Homo sapiens			perirectal				https://www.ncbi.nlm.nih.gov/bioproject/PRJNA194704		142768	NO		Illumina	39.1870022475576	3776099	246	USA						3451	perirectal	Perianal	Colonización	Perianal	Perianal		no_16S	no_16S			
350	ab00350	GCA_000581135.1_ASM58113v1	1429530										USA		Homo sapiens			perirectal				https://www.ncbi.nlm.nih.gov/bioproject/PRJNA194712		613438	NO		Illumina	38.975677259172	3985365	31	USA						3655	perirectal	Perianal	Colonización	Perianal	Perianal		A. baumannii	A. baumannii	group1	csy4(cas6f);csy3(cas7);csy2(cas5);BMY_2099(cas8f);cas3(cas2_3);cas1	3
351	ab00351	GCA_000581155.1_ASM58115v1	1461963										USA		Homo sapiens			perirectal				https://www.ncbi.nlm.nih.gov/bioproject/PRJNA194721		351084	NO		Illumina	38.8466282017621	4101921	140	USA						3827	perirectal	Perianal	Colonización	Perianal	Perianal		no_16S	no_16S			
352	ab00352	GCA_000581175.1_ASM58117v1	1465485										USA		Homo sapiens			perirectal				https://www.ncbi.nlm.nih.gov/bioproject/PRJNA194725		161616	NO		Illumina	39.089268234429	4253876	230	USA						4098	perirectal	Perianal	Colonización	Perianal	Perianal		no_16S	no_16S			
353	ab00353	GCA_000581235.1_ASM58123v1	400834										USA		Homo sapiens			perirectal				https://www.ncbi.nlm.nih.gov/bioproject/PRJNA194692		218544	NO		Illumina	39.1167947959066	4100157	211	USA						3874	perirectal	Perianal	Colonización	Perianal	Perianal		A. baumannii	A. baumannii	group2		1
354	ab00354	GCA_000581255.1_ASM58125v1	625974										USA		Homo sapiens			perirectal				https://www.ncbi.nlm.nih.gov/bioproject/PRJNA194683		263831	NO		Illumina	39.0299350230039	4069748	132	USA						3896	perirectal	Perianal	Colonización	Perianal	Perianal		A. baumannii	A. baumannii	group1	cas9	5
355	ab00355	GCA_000581295.1_ASM58129v1	99063										USA		Homo sapiens			perirectal				https://www.ncbi.nlm.nih.gov/bioproject/PRJNA194706		176549	NO		Illumina	39.0847439516147	4417212	509	USA						4191	perirectal	Perianal	Colonización	Perianal	Perianal		A. baumannii	A. baumannii	group1	csy4(cas6f);csy3(cas7);csy2(cas5);BMY_2099(cas8f);cas3(cas2_3);cas1;X(757);t4544(cas3);X(785);cas3(cas2_3)	12
356	ab00356	GCA_000581315.1_ASM58131v1	972082										USA		Homo sapiens			perirectal				https://www.ncbi.nlm.nih.gov/bioproject/PRJNA194639		176762	NO		Illumina	39.045473165706	3981491	276	USA						3661	perirectal	Perianal	Colonización	Perianal	Perianal		no_16S	no_16S			
357	ab00357	GCA_000581335.1_ASM58133v1	959073										USA		Homo sapiens			perirectal				https://www.ncbi.nlm.nih.gov/bioproject/PRJNA194633		157435	NO		Illumina	39.2326255614335	4041886	474	USA						3755	perirectal	Perianal	Colonización	Perianal	Perianal		no_16S	no_16S			
358	ab00358	GCA_000581355.1_ASM58135v1	942133										USA		Homo sapiens			perirectal				https://www.ncbi.nlm.nih.gov/bioproject/PRJNA194637		165703	NO		Illumina	39.722701551593	4183507	264	USA						3932	perirectal	Perianal	Colonización	Perianal	Perianal		A. baumannii	A. baumannii	group2	Vcrx011	0
359	ab00359	GCA_000581375.1_ASM58137v1	929679-2095										USA		Homo sapiens			perirectal				https://www.ncbi.nlm.nih.gov/bioproject/PRJNA194665		107926	NO		Illumina	39.2571500566965	4166925	298	USA						3962	perirectal	Perianal	Colonización	Perianal	Perianal		A. baumannii	A. baumannii	group2		0
360	ab00360	GCA_000581395.1_ASM58139v1	58452										USA		Homo sapiens			perirectal				https://www.ncbi.nlm.nih.gov/bioproject/PRJNA194655		298888	NO		Illumina	38.9209465680506	4100075	107	USA						3991	perirectal	Perianal	Colonización	Perianal	Perianal		no_16S	no_16S			
361	ab00361	GCA_000581415.1_ASM58141v1	796380-2102										USA		Homo sapiens			perirectal				https://www.ncbi.nlm.nih.gov/bioproject/PRJNA194669		218513	NO		Illumina	39.1364226207931	4211435	196	USA						4087	perirectal	Perianal	Colonización	Perianal	Perianal		no_16S	no_16S			
