	NZ_CP040048.1	CP040042.1	CP026129.1	NZ_CP039519.1	CP027185.1	NZ_CP036285.1	CU459140.1	NZ_CP039931.1	NZ_CP039932.1	KX118105.1	CP013925.1	CP012956.1	CP010399.1	CM009083.3	CP000864.1	AFDB02000003.1	NZ_CP015485.1	NC_021728.1	NZ_CP015365.1	CP000522.1	CM009046.2	CM009652.1	CP018334.1	CP031745.1	CP039933.1	NC_010402.1	CP010400.1	NZ_CP012955.1	KY704308.1	AFDA02000008.1	CM009045.2	NZ_CP007713.1	AFDA02000011.1	CM009039.2	CM009649.1	CM009050.2	NZ_CP040052.1	NC_010401.1	CP039521.1	NZ_CP023023.1	NZ_CP026340.1	NZ_CP012953.1	NZ_CP021785.1	CM003742.1	NZ_CP021783.1	MK386684.1	CP008709.1	NZ_CP020583.1
ab01401						1		1																1																								
ab01402						1		1																1																								
ab01403						1		1																1																								
ab01404						1		1																1																								
ab01405						1		1																1																								
ab01406		1																1																														
ab01408						1		1																1																								
ab01409								1																																								
ab01410						1		1																1																								
ab01411						1		1																1																								
ab01412						1		1																1																								
ab01413																																																
ab01415						1		1																1																								
ab01416						1		1																1																								
ab01417								1																																								
ab01418						1		1																1																								
ab01419						1		1																1																								
ab01420		1		1													1																															
ab01421						1		1																1																								
ab01422						1		1																																								
ab01423						1		1																1																								
ab01424								1																1																								
ab01425						1		1																1																								
ab01426						1		1																1																								
ab01427						1		1																1																								
ab01428						1		1																1																								
ab01429						1		1																1																								
ab01430		1																																														
ab01431																																																
ab01432						1																		1																								
ab01433						1		1																1																								
ab01434						1		1																																								
ab01435								1																1																								
ab01436								1																1																								
ab01437						1		1																1																								
ab01438						1		1																1																								
ab01439								1																1																								
ab01441						1		1																1																								
ab01442						1		1																1																								
ab01443						1		1																1																								
ab01444						1		1																1																								
ab01445								1																1																								
ab01446						1		1																1																								
ab01447						1		1																1																								
ab01449						1		1														1		1																								
ab01450						1		1														1		1																								
ab01451						1		1																1																								
ab01452						1		1														1		1																								
ab01453						1		1																1																								
ab01454						1		1																1																								
ab01455						1		1																1																								
ab01456		1															1																															
ab01457		1																																														
ab01458						1		1																1																								
ab01459						1		1																																								
ab01460						1		1																																								
ab01461						1		1														1		1																								
ab01462						1		1														1		1																								
ab01463		1																																														
ab01464						1		1														1																										
ab01465						1		1																1																								
ab01466						1		1																1																								
ab01467						1		1														1		1																								
ab01468						1		1														1		1																								
ab01470		1		1														1				1																										
ab01472						1		1																1																								
ab01473						1		1																1																								
ab01474						1		1														1		1																								
ab01475						1		1														1		1																								
ab01476						1		1																1																								
ab01477		1																1						1																								
ab01479		1		1													1																															
ab01480						1		1														1		1																								
ab01481						1		1																1																								
ab01482						1		1																																								
ab01483						1		1														1		1																								
ab01484								1																1																								
ab01485						1		1																1																								
ab01486						1		1														1		1																								
ab01487						1		1																1																								
ab01488																																																
ab01489		1																																														
ab01490								1														1		1																								
ab01491						1		1																1																								
ab01492						1		1														1																										
ab01493						1		1																1																								
ab01494						1		1																1																								
ab01495						1		1																1																								
ab01496						1		1																																								
ab01497						1		1																1																								
ab01498						1		1																																								
ab01499						1		1														1		1																								
ab01500						1		1																1																								
ab01501						1		1														1		1																								
ab01502						1		1														1		1																								
ab01503						1		1																																								
ab01504						1		1														1		1																								
ab01505						1		1														1		1																								
ab01506						1		1														1		1																								
ab01507						1		1																1																								
ab01509						1		1																1																								
ab01511								1																1																								
ab01512						1		1																1																								
ab01513						1		1														1		1																								
ab01514						1		1																1																								
ab01515						1		1																1																								
ab01516						1		1														1		1																								
ab01517						1		1																1																								
ab01518						1		1																1																								
ab01519						1		1														1		1																								
ab01520						1		1																1																								
ab01521								1																1																								
ab01522						1		1																																								
ab01523						1		1																1																								
ab01524						1		1														1		1																								
ab01525								1														1		1																								
ab01526						1		1																1																								
ab01527						1		1														1		1																								
ab01528						1		1																																								
ab01529						1		1																1																								
ab01530						1		1																1																								
ab01531						1		1														1		1																								
ab01532						1		1														1		1																								
ab01533						1		1																1																								
ab01534		1																1																														
ab01536						1		1														1		1																								
ab01537						1		1																1																								
ab01538						1		1														1		1																								
ab01539						1		1														1		1																								
ab01540						1		1														1		1																								
ab01541						1		1														1		1																								
ab01542						1		1														1		1																								
ab01543						1		1														1		1																								
ab01544						1		1																1																								
ab01545						1		1														1		1																								
ab01546						1		1																1																								
ab01548		1				1																																										
ab01549		1				1																																										
ab01550		1															1																															
ab01551		1																																														
ab01552		1															1																															
ab01553		1															1	1																														
ab01554		1															1																															
ab01555		1															1																															
ab01556		1															1																															
ab01557		1																																														
ab01558	1	1																																														
ab01559		1															1																															
ab01560	1	1															1																															
ab01561	1	1																																														
ab01562	1	1															1																															
ab01563	1	1															1																															
ab01564	1	1															1																															
ab01573		1																1																														
ab01576		1																																														
ab01579		1						1																																								
ab01580		1						1																																								
ab01596																																																
ab01597																																																
ab01598																																																
ab01599																																																
ab01600																																																
ab01601																																																
ab01602																																																
ab01603																																																
ab01604																																																
ab01606		1																																														
ab01608		1																																														
ab01609		1																																														
ab01610	1	1																																														
ab01611	1	1																																														
ab01613	1	1															1																															
ab01614		1															1	1																														
ab01615		1															1																															
ab01616	1	1																																														
ab01617		1															1																															
ab01618		1															1																															
ab01620	1	1															1																															
ab01621		1																																														
ab01622		1																																					1									
ab01623	1	1																																														
ab01624		1																																														
ab01625	1	1																																														
ab01626	1	1																																														
ab01627		1																																														
ab01628		1															1	1																														
ab01630	1	1															1																															
ab01633		1															1																															
ab01634	1	1																																														
ab01636	1	1															1																															
ab01638		1																																											1			
ab01639	1	1				1											1	1																														
ab01640		1															1																															
ab01641		1															1																															
ab01642	1	1															1																															
ab01644		1																																														
ab01646		1																																														
ab01647	1	1															1																															
ab01648		1																																														
ab01649		1																																														
ab01651																																																
ab01652	1	1																																														
ab01653		1															1																															
ab01654		1				1																																										
ab01655		1																																														
ab01657	1	1															1																															
ab01658	1	1															1																															
ab01659	1	1															1																															
ab01660	1	1															1																															
ab01661	1	1																																														
ab01662		1																																														
ab01663	1	1															1																															
ab01665	1	1																																														
ab01666		1															1																															
ab01667	1	1															1																															
ab01668		1															1																															
ab01669	1	1															1																															
ab01671		1																																														
ab01672		1															1																															
ab01675		1															1																															
ab01676	1	1															1																															
ab01677	1	1																																														
ab01678	1	1																																														
ab01679		1															1																															
ab01681	1	1																																														
ab01683		1																																														
ab01684	1	1																																														
ab01685		1																																														
ab01686		1																																														
ab01687		1															1																															
ab01688		1															1																															
ab01689		1															1	1																														
ab01690		1															1	1																														
ab01691		1															1																															
ab01692		1															1	1																														
ab01693	1	1															1																															
ab01694	1																																															
ab01695		1															1	1																														
ab01696		1															1																															
ab01698	1	1															1																															
ab01699		1																																														
ab01700		1															1	1																														
ab01701																	1																															
ab01702		1															1																															
ab01703																	1																															
ab01704																																																
ab01705	1	1																																														
ab01706	1	1															1																															
ab01707																																																
ab01708																																																
ab01709	1	1															1																															
ab01710																																																
ab01711																																																
ab01712	1	1																																														
ab01713		1															1																															
ab01714	1	1															1																															
ab01715	1	1																																														
ab01716	1	1																																														
ab01718																																																
ab01719																																																
ab01720		1				1											1																															
ab01722		1																																														
ab01723																																																
ab01724		1																																														
ab01725		1																																														
ab01726		1																																														
ab01727		1															1																															
ab01728	1	1															1																															
ab01729		1																1																														
ab01730		1																																														
ab01732		1																																														
ab01733		1																																														
ab01734		1															1																															
ab01735		1																																														
ab01736																																																
ab01737		1															1																															
ab01738		1															1																															
ab01739																																																
ab01740																																																
ab01741	1	1																																														
ab01742																																																
ab01743																																																
ab01744		1																																														
ab01745	1	1															1																															
ab01746	1	1															1																															
ab01747																																																
ab01748		1																1																														
ab01749		1																																														
ab01750		1																1																														
ab01751																																																
ab01752		1																																														
ab01753																																																
ab01754	1	1															1																															
ab01755	1	1																																														
ab01758		1															1	1																														
ab01760		1																1																														
ab01762		1																																														
ab01764		1																																														
ab01767		1															1	1																														
ab01768		1																																														
ab01769		1																																														
ab01774																																																
ab01776																																																
ab01779																																																
ab01781																																																
ab01782																																																
ab01783																																																
ab01784																						1																										
ab01786																																																
ab01787		1																																														
ab01788		1																																												1		
ab01789		1																																														
ab01790		1																																														
ab01791		1																																														
ab01792		1																																												1		
ab01793		1																																														
ab01794																																																
ab01795																																																
ab01796																																																
ab01806						1											1																															
ab01807		1															1																															
ab01808						1																																										
ab01810																																																
ab01820								1																																								
ab01826		1																																														
ab01831																																																
ab01834																																																
ab01835		1																																														
ab01836		1																																														
ab01837						1		1																1																								
ab01838																																																
ab01843																																																
ab01844		1																																														
ab01846		1																																														
ab01847		1																																														
ab01848		1																																														
ab01850						1		1																1																								
ab01851		1		1													1																															
ab01852																																																
ab01854						1		1																1																								
ab01857		1															1																															
ab01858		1																																														
ab01859																																																
ab01860																																																
ab01864						1																																										
ab01865		1																																														
ab01866						1		1																1																								
ab01867						1		1																1																								
ab01868																																																
ab01869						1		1																1																								
ab01870		1																																														
ab01872		1		1													1							1																								
ab01873																																																
ab01874						1		1																																								
ab01875																																																
ab01876																																																
ab01877																																																
ab01879																																																
ab01880		1																																														
ab01881						1		1																1																								
ab01882						1		1																1																								
ab01883		1																																														
ab01884		1															1																															
ab01885		1																																														
ab01886		1																																														
ab01888																																																
ab01889		1		1													1																															
ab01890		1															1																															
ab01893																	1							1																								
ab01894						1		1																1																								
ab01895		1		1													1																															
ab01896		1																																														
ab01897		1															1																															
ab01898																																																
ab01899																																																
ab01900																																																
ab01901		1		1		1											1							1																								
ab01902																																																
ab01910		1																1																														
ab01911		1																1																														
ab01912		1															1							1																								
ab01913		1																1																														
ab01914		1																																														
ab01915																																																1
ab01916																																																
ab01917																																																
ab01918																																																
ab01919																																																
ab01920																																																
ab01924																																																
ab01925																																																
ab01926																																																
ab01927		1																																														
ab01928		1															1																															
ab01929		1															1																															
ab01938																																																
ab01942		1																																														
ab01944		1																																														
ab01945		1																1																														
ab01947																																																
ab01950																																																
ab01952		1																																														
ab01954		1															1	1																														
ab01956						1		1																1																								
ab01957		1																1																														
ab01960						1		1																1																								
ab01963		1																1																														
ab01964		1															1							1																								
ab01966		1																1																														
ab01967		1															1																															
ab01968		1																																														
ab01969		1																1																														
ab01970																																																
ab01972		1																1																														
ab01973																																																
ab01974						1		1																1																								
ab01978																																																
ab01979						1		1																1																								
ab01983		1																1																														
ab01984		1																1																														
ab01985		1																																														
ab01986		1															1																															
ab01989						1		1																1																								
ab01990		1															1	1																														
ab01991																																																
ab01995		1		1													1	1																														
ab01997																																																
ab01999		1																1																														
ab02000																																																
ab02001						1		1																1																								
ab02002		1															1																															
ab02003						1		1																1																								
ab02004		1																1																														
ab02005		1																1																														
ab02007						1																																										
ab02009																																																
ab02010		1															1	1																														
ab02011																																																
ab02012																																																
ab02013																																																
ab02014																																																
ab02015																																																
ab02018		1																1																														
ab02019																																																
ab02020		1																																														
ab02022		1																1																														
ab02023																																																
ab02026		1																1																														
ab02027																																																
ab02028		1																1																														
ab02030		1																1																														
ab02031		1																1																														
ab02032		1																																														
ab02034																																																
ab02035		1																1																														
ab02036																																																
ab02037		1																1																														
ab02038		1																																														
ab02041		1																1																														
ab02042																																																
ab02043		1																1																														
ab02044		1																						1																								
ab02048		1				1																																										
ab02050																																																
ab02052																																																
ab02054		1															1	1																														
ab02055		1		1													1							1																								
ab02064						1		1																1																								
ab02066		1															1																															
ab02067		1															1	1																														
ab02068		1																																														
ab02070		1		1													1																															
ab02073																																																
ab02074		1																1																														
ab02079																																																
ab02080		1																1																														
ab02085								1																																								
ab02088		1																																														
ab02089																																																
ab02091		1																1																														
ab02092						1		1																1																								
ab02095		1															1	1																														
ab02096		1																																														
ab02097		1																1																														
ab02098		1		1													1	1																														
ab02099																																																
ab02100		1																1																														
ab02101																																									1							
ab02102																																																
ab02103																																																
ab02104																																																
ab02105		1																																														
ab02106																																																
ab02107																																																
ab02108																																																
ab02109																																																
ab02110		1																																														
ab02111		1																1																														
ab02112		1		1													1																															
ab02113																																																
ab02115		1																1																														
ab02116		1																1																														
ab02118		1																																														
ab02119																																																
ab02121						1		1																1																								
ab02125						1		1																1																								
ab02126		1		1													1							1																								
ab02127		1																																														
ab02128		1		1													1																															
ab02129		1																																														
ab02130						1																		1																								
ab02131		1																																														
ab02132						1		1																1																								
ab02133		1																																														
ab02134		1															1																															
ab02135		1		1													1	1																														
ab02136		1															1							1																								
ab02137																																																
ab02139						1		1																1																								
ab02140		1		1													1																															
ab02141		1																1																														
ab02144		1																																														
ab02145		1																																														
ab02146		1																1																														
ab02147						1		1																1																								
ab02148																																																
ab02149		1																1																														
ab02150		1		1													1	1																														
ab02152																																																
ab02153																																																
ab02154		1																1																														
ab02155		1																1																														
ab02156		1		1													1							1																								
ab02157																																																
ab02158		1																																														
ab02159		1																																														
ab02160																																																
ab02161		1		1													1	1																														
ab02162		1																1																														
ab02164		1																1																														
ab02165						1		1																																								
ab02166		1																1																														
ab02167																																																
ab02168																																																
ab02169						1		1																1																								
ab02170		1																1																														
ab02171		1																1																														
ab02172		1															1	1																														
ab02173		1															1	1																														
ab02175		1																																														
ab02179																																																
ab02180																																																
ab02181		1		1													1																															
ab02183																																											1		1			
ab02204																																																
ab02216																																																
ab02219																	1																															
ab02220		1															1																															
ab02221		1																																												1		
ab02223		1																																														
ab02226																	1																															
ab02227																	1																															
ab02228		1																																														
ab02229																	1																															
ab02230		1																																												1		
ab02231		1																																														
ab02232		1																																												1		
ab02233		1																																												1		
ab02234		1															1																															
ab02235																		1																														
ab02236		1																																												1		
ab02237																																														1		
ab02238		1															1																															
ab02239																		1																														
ab02240		1															1																															
ab02241		1																																														
ab02242		1															1																															
ab02243																																																
ab02244		1																																														
ab02245		1																																												1		
ab02246																																																
ab02247		1															1																															
ab02249		1																																														
ab02252		1																																														
ab02253		1																																														
ab02254		1																																														
ab02255																																																
ab02256																	1																															
ab02257																																																
ab02258		1																																														
ab02259		1																																														
ab02260																																																
ab02261		1																																														
ab02262		1																																														
ab02263																																																
ab02264		1																																														
ab02265		1																																														
ab02266																																																
ab02267		1															1																															
ab02268		1																																														
ab02269		1																																														
ab02270		1																																														
ab02271																																																
ab02272																																																
ab02273		1																																														
ab02274		1																																														
ab02275		1																																														
ab02276		1																																														
ab02277		1																																														
ab02278																	1																															
ab02279																	1																															
ab02280																																																
ab02281		1																																														
ab02282		1																																														
ab02295																																																
ab02297																																																
ab02298		1																																														
ab02299																																																
ab02300		1																																														
ab02301																																																
ab02320																																																
ab02332																																																
ab02333																																																
ab02334																																																
ab02335																																																
ab02336						1											1																															
ab02337						1											1																															
ab02341		1				1																																										
ab02343		1																																														
ab02344		1																																														
ab02350		1				1												1																														
ab02352																																				1												
ab02354																																																
ab02357																																																
ab02358																																																
ab02362																																																
ab02374																																																
ab02375		1																1																														
ab02376		1						1																1																								
ab02377		1				1																		1																								
ab02378		1																						1																								
ab02379		1																																														
ab02380		1						1																1																								
ab02381		1				1																		1																								
ab02382		1																																														
ab02383		1																						1																								
ab02384		1																						1																								
ab02385		1																						1																								
ab02386		1				1																		1																								
ab02387		1						1																1																								
ab02388		1																																														
ab02389		1																																														
ab02390		1																						1																								
ab02391		1																						1																								
ab02392		1				1																		1																								
ab02393		1						1																1																								
ab02394		1																						1																								
ab02395		1																						1																								
ab02396																								1																								
ab02397		1						1																1																								
ab02398		1				1																		1																								
ab02399		1																																														
ab02400		1				1																		1																								
ab02401		1																				1		1																								
ab02402		1																						1																								
ab02403		1				1																		1																								
ab02404		1																						1																								
ab02405		1																						1																								
ab02406		1																																														
ab02407		1																																														
ab02408		1																						1																								
ab02409		1						1																1																								
ab02410		1				1																		1																								
ab02411		1																						1																								
ab02412		1																																														
ab02413		1				1																		1																								
ab02414		1																						1																								
ab02415		1																						1																								
ab02416		1																																														
ab02417		1						1																1																								
ab02418		1				1																		1																								
ab02419		1																						1																								
ab02420		1																						1																								
ab02421		1																						1																								
ab02422		1				1		1																1																								
ab02423		1																						1																								
ab02424		1																						1																								
ab02425		1				1																		1																								
ab02426		1																				1		1																								
ab02427		1				1																		1																								
ab02428		1				1																		1																								
ab02429		1				1																		1																								
ab02430		1				1																		1																								
ab02431		1				1																		1																								
ab02432		1															1	1																														
ab02433		1															1																															
ab02434		1																																														
ab02435		1		1		1																																										
ab02436		1				1																		1																								
ab02437		1		1		1																1																										
ab02438		1				1																		1																								
ab02439		1				1																		1																								
ab02440		1		1		1											1					1		1																								
ab02441		1																						1																								
ab02442		1				1																		1																								
ab02443		1																																														
ab02444																		1																														
ab02446		1																																														
ab02451																																																
ab02464																																																
ab02465																		1																														
ab02467		1		1																																												
